grade,subject_fa,grade_fa,file,size_bytes,source_url,maktab93_page
11,"دری","صنف یازدهم","Grade-11/G11-Dr-Dari.pdf",16775262,"https://drive.usercontent.google.com/download?id=1mlWuT65Ol1BEHvH2WJsjq8yBUKDX9oF3&export=download","https://www.maktab93.com/download.php?id=198"
11,"بیالوژی","صنف یازدهم","Grade-11/G11-Dr-Biology.pdf",28553705,"https://drive.usercontent.google.com/download?id=1EyvZtzCDNxRz947L9q5DaXZVGd7nWIYe&export=download","https://www.maktab93.com/download.php?id=199"
11,"پشتو","صنف یازدهم","Grade-11/G11-Dr-Pashto.pdf",25191091,"https://drive.usercontent.google.com/download?id=1RhE6oM8tH9ac0iVi92PLRPlIpYv8uDGD&export=download","https://www.maktab93.com/download.php?id=200"
11,"جغرافیه","صنف یازدهم","Grade-11/G11-Dr-Geography.pdf",23157359,"https://drive.usercontent.google.com/download?id=1Ow32RsAuEo0Qg9K-ZHEBziyJdfP5VX-5&export=download","https://www.maktab93.com/download.php?id=201"
11,"تاریخ","صنف یازدهم","Grade-11/G11-Dr-History.pdf",26557270,"https://drive.usercontent.google.com/download?id=1Ww-g64JrF_deJlsZBYj6qID_Djtpf7A3&export=download","https://www.maktab93.com/download.php?id=202"
11,"فزیک","صنف یازدهم","Grade-11/G11-Dr-Physic.pdf",30015439,"https://drive.usercontent.google.com/download?id=1QlCYZ50J95-w5rIN3pHwk7mVt3TLCq40&export=download","https://www.maktab93.com/download.php?id=229"
11,"کیمیا","صنف یازدهم","Grade-11/G11-Dr-Chemistry.pdf",25546552,"https://drive.usercontent.google.com/download?id=11au22LquXlql8KYQXP9PFI8d6A7xqsmU&export=download","https://www.maktab93.com/download.php?id=230"
11,"معلومات مدنی","صنف یازدهم","Grade-11/G11-Dr-CIvic.pdf",20806946,"https://drive.usercontent.google.com/download?id=1yQ6ACh1L2aOGlrVHYshtjbrr7Yil6oNZ&export=download","https://www.maktab93.com/download.php?id=231"
11,"تفسیر شریف","صنف یازدهم","Grade-11/G11-Dr-Tafseer.pdf",4129117,"https://drive.usercontent.google.com/download?id=1TxG1mPhEQF6hN0e3u5MhW-TU-WXsfCAY&export=download","https://www.maktab93.com/download.php?id=239"
10,"تعلیمات اسلامی","صنف دهم","Grade-10/G10-Dr-Islamic_Study_hanafi.pdf",6275114,"https://drive.usercontent.google.com/download?id=1KUQf-AOczDBwlobEUwYDUH1_EF3Q989X&export=download","https://www.maktab93.com/download.php?id=183"
10,"جعفری","صنف دهم","Grade-10/G10-Dr-Islamic_Study_jafari.pdf",3220475,"https://drive.usercontent.google.com/download?id=1sx3X1XZ2DWynZ85-pfqFpGqFF8qxYjIN&export=download","https://www.maktab93.com/download.php?id=184"
10,"ریاضی","صنف دهم","Grade-10/G10-Dr-Math.pdf",20244540,"https://drive.usercontent.google.com/download?id=1ObiBdtGjEMInCLvJGr8wD8532vSgBNVz&export=download","https://www.maktab93.com/download.php?id=185"
